
UUJ170630_matabat2bin_435_proteins.faa	genome1
UUJ180725_matabat2bin_59_proteins.faa	genome503
UUJ180219_matabat2bin_37_proteins.faa	genome504
UUJ180903_matabat2bin_425_decontaminated_proteins.faa	genome505
UUJ180629_matabat2bin_87_decontaminated_proteins.faa	genome506
UUJ170626_matabat2bin_105_proteins.faa	genome507
UUJ180815_matabat2bin_126_proteins.faa	genome508
UUJ180510_matabat2bin_448_proteins.faa	genome509
UUJ171110_matabat2bin_275_decontaminated_proteins.faa	genome510
054_Melbournevirus_proteins.faa	genome511
UUJ180510_matabat2bin_339_proteins.faa	genome512
UUJ170714_matabat2bin_302_proteins.faa	genome513
UUJ180718_matabat2bin_297_proteins.faa	genome514
UUJ170726_matabat2bin_15_decontaminated_proteins.faa	genome515
205_Salmon_gill_poxvirus_proteins.faa	genome516
198_Tanapox_virus_proteins.faa	genome517
UUJ180827_matabat2bin_144_proteins.faa	genome518
UUJ180827_matabat2bin_111_proteins.faa	genome519
UUJ170105_matabat2bin_359_proteins.faa	genome520
UUJ180110_matabat2bin_169_proteins.faa	genome521
UUJ180725_matabat2bin_132_proteins.faa	genome522
UUJ170927_matabat2bin_156_proteins.faa	genome523
UUJ171218_matabat2bin_255_proteins.faa	genome524
018_Klosneuvirus_KNV1_proteins.faa	genome525
UUJ180802_matabat2bin_284_proteins.faa	genome526
UUJ170306_matabat2bin_4_proteins.faa	genome527
UUJ180925_matabat2bin_263_proteins.faa	genome528
UUJ170501_matabat2bin_228_proteins.faa	genome529
UUJ170523_matabat2bin_213_proteins.faa	genome530
UUJ170804_matabat2bin_140_proteins.faa	genome531
UUJ170523_matabat2bin_246_proteins.faa	genome532
UUJ180219_matabat2bin_218_proteins.faa	genome533
UUJ180809_matabat2bin_230_proteins.faa	genome534
164_Ostreococcus_tauri_virus_2_proteins.faa	genome535
UUJ180802_matabat2bin_41_proteins.faa	genome536
UUJ180903_matabat2bin_211_decontaminated_proteins.faa	genome537
UUJ180313_matabat2bin_111_proteins.faa	genome538
167_Penguinpox_virus_proteins.faa	genome539
UUJ180219_matabat2bin_170_proteins.faa	genome540
UUJ170804_matabat2bin_282_proteins.faa	genome541
UUJ170306_matabat2bin_256_proteins.faa	genome542
UUJ180110_matabat2bin_254_proteins.faa	genome543
UUJ180802_matabat2bin_13_proteins.faa	genome544
UUJ170714_matabat2bin_310_proteins.faa	genome545
UUJ180827_matabat2bin_279_proteins.faa	genome546
098_Common_midwife_toad_ranavirus_proteins.faa	genome547
UUJ170620_matabat2bin_256_proteins.faa	genome548
UUJ171110_matabat2bin_283_decontaminated_proteins.faa	genome549
UUJ171218_matabat2bin_197_proteins.faa	genome550
UUJ180622_matabat2bin_92_proteins.faa	genome551
UUJ170626_matabat2bin_393_proteins.faa	genome552
UUJ180925_matabat2bin_377_proteins.faa	genome553
UUJ170927_matabat2bin_41_proteins.faa	genome554
049_Brazilian_marseillevirus_proteins.faa	genome555
UUM180827_matabat2bin_28_proteins.faa	genome556
UUJ170721_matabat2bin_125_proteins.faa	genome557
UUJ171218_matabat2bin_231_proteins.faa	genome558
UUJ170714_matabat2bin_95_proteins.faa	genome559
113_Testudo_hermanni_ranavirus_proteins.faa	genome560
UUJ170927_matabat2bin_13_proteins.faa	genome561
UUJ170105_matabat2bin_29_proteins.faa	genome562
UUJ170927_matabat2bin_46_proteins.faa	genome563
UUJ170623_matabat2bin_375_proteins.faa	genome564
UUJ180815_matabat2bin_348_proteins.faa	genome565
UUM180827_matabat2bin_335_proteins.faa	genome566
UUJ170623_matabat2bin_265_decontaminated_proteins.faa	genome567
UUJ171218_matabat2bin_263_proteins.faa	genome568
UUJ170523_matabat2bin_222_proteins.faa	genome569
UUJ180718_matabat2bin_383_proteins.faa	genome570
UUJ180219_matabat2bin_229_proteins.faa	genome571
UUJ171113_matabat2bin_53_proteins.faa	genome572
UUJ170714_matabat2bin_139_proteins.faa	genome573
UUJ180802_matabat2bin_122_proteins.faa	genome574
UUJ180718_matabat2bin_136_proteins.faa	genome575
155_Emiliania_huxleyi_virus_84_proteins.faa	genome576
UUJ180827_matabat2bin_73_proteins.faa	genome577
UUJ180827_matabat2bin_26_proteins.faa	genome578
UUJ170612_matabat2bin_178_proteins.faa	genome579
107_Ranavirus_maximus_proteins.faa	genome580
UUJ170804_matabat2bin_219_proteins.faa	genome581
UUJ180110_matabat2bin_31_proteins.faa	genome582
UUJ180718_matabat2bin_45_proteins.faa	genome583
071_Faustovirus_strain_E12_proteins.faa	genome584
UUJ170804_matabat2bin_59_proteins.faa	genome585
UUJ170105_matabat2bin_188_proteins.faa	genome586
UUJ180410_matabat2bin_327_proteins.faa	genome587
UUJ171218_matabat2bin_159_proteins.faa	genome588
UUJ170105_matabat2bin_258_proteins.faa	genome589
UUJ180802_matabat2bin_328_proteins.faa	genome590
172_Choristoneura_rosaceana_entomopoxvirus_L_proteins.faa	genome591
126_Marseillevirus_Shangai_isolate_1_proteins.faa	genome592
051_Tunisvirus_fontaine2_proteins.faa	genome593
UUJ180629_matabat2bin_346_proteins.faa	genome594
UUJ170306_matabat2bin_54_proteins.faa	genome595
190_Rabbit_fibroma_virus_proteins.faa	genome596
UUJ171113_matabat2bin_14_proteins.faa	genome597
104_Lymphocystis_disease_virus_1_proteins.faa	genome598
UUF170620_matabat2bin_35_proteins.faa	genome599
UUJ170927_matabat2bin_23_decontaminated_proteins.faa	genome600
UUM180827_matabat2bin_372_proteins.faa	genome601
UUJ171218_matabat2bin_271_proteins.faa	genome602
UUJ180903_matabat2bin_22_proteins.faa	genome603
UUM171110_matabat2bin_293_decontaminated_proteins.faa	genome604
UUJ171218_matabat2bin_353_proteins.faa	genome605
UUJ170523_matabat2bin_312_proteins.faa	genome606
UUJ180410_matabat2bin_139_decontaminated_proteins.faa	genome607
UUJ180410_matabat2bin_367_proteins.faa	genome608
038_Pandoravirus_inopinatum_proteins.faa	genome609
UUJ180219_matabat2bin_153_proteins.faa	genome610
160_Ostreococcus_lucimarinus_virus_7_proteins.faa	genome611
UUJ170523_matabat2bin_304_decontaminated_proteins.faa	genome612
UUJ180110_matabat2bin_225_proteins.faa	genome613
UUJ180718_matabat2bin_171_proteins.faa	genome614
UUJ180219_matabat2bin_54_proteins.faa	genome615
057_Heliothis_virescens_ascovirus_3e_proteins.faa	genome616
UUJ170721_matabat2bin_382_proteins.faa	genome617
UUJ170620_matabat2bin_473_proteins.faa	genome618
UUJ170501_matabat2bin_164_proteins.faa	genome619
UUJ170615_matabat2bin_291_proteins.faa	genome620
UUJ180528_matabat2bin_84_proteins.faa	genome621
UUJ180510_matabat2bin_280_proteins.faa	genome622
UUJ180110_matabat2bin_277_proteins.faa	genome623
UUJ180110_matabat2bin_89_proteins.faa	genome624
UUJ171113_matabat2bin_120_proteins.faa	genome625
UUM180827_matabat2bin_195_proteins.faa	genome626
UUJ180622_matabat2bin_147_proteins.faa	genome627
UUJ170804_matabat2bin_384_proteins.faa	genome628
UUJ180802_matabat2bin_104_proteins.faa	genome629
068_Lymphocystis_disease_virus_Sa_proteins.faa	genome630
UUJ180925_matabat2bin_66_proteins.faa	genome631
UUJ180410_matabat2bin_306_proteins.faa	genome632
UUJ180410_matabat2bin_353_proteins.faa	genome633
029_Ectocarpus_siliculosus_virus_1_proteins.faa	genome634
UUJ170721_matabat2bin_294_proteins.faa	genome635
UUJ180510_matabat2bin_396_proteins.faa	genome636
UUJ170105_matabat2bin_151_proteins.faa	genome637
UUJ170523_matabat2bin_206_decontaminated_proteins.faa	genome638
UUJ170612_matabat2bin_207_decontaminated_proteins.faa	genome639
UUJ170818_matabat2bin_2_proteins.faa	genome640
UUJ170927_matabat2bin_32_proteins.faa	genome641
UUJ170306_matabat2bin_35_proteins.faa	genome642
UUM180827_matabat2bin_236_proteins.faa	genome643
UUJ171110_matabat2bin_176_proteins.faa	genome644
206_Panulirus_argus_virus_1_proteins.faa	genome645
UUJ180925_matabat2bin_356_proteins.faa	genome646
UUJ180718_matabat2bin_287_proteins.faa	genome647
UUJ170706_matabat2bin_121_proteins.faa	genome648
UUJ180802_matabat2bin_239_proteins.faa	genome649
UUJ170523_matabat2bin_251_proteins.faa	genome650
UUJ180622_matabat2bin_394_proteins.faa	genome651
UUJ171218_matabat2bin_245_proteins.faa	genome652
UUJ171113_matabat2bin_359_proteins.faa	genome653
UUM180827_matabat2bin_346_proteins.faa	genome654
UUJ170630_matabat2bin_188_proteins.faa	genome655
UUJ180219_matabat2bin_120_proteins.faa	genome656
UUJ170620_matabat2bin_389_proteins.faa	genome657
UUJ170306_matabat2bin_253_proteins.faa	genome658
083_Vaccinia_virus_proteins.faa	genome659
UUJ180827_matabat2bin_12_proteins.faa	genome660
UUJ170612_matabat2bin_17_proteins.faa	genome661
UUJ180510_matabat2bin_329_proteins.faa	genome662
UUJ180622_matabat2bin_133_proteins.faa	genome663
140_Bathycoccus_sp._RCC1105_virus_BpV2_proteins.faa	genome664
075_Amsacta_moorei_entomopoxvirus_proteins.faa	genome665
UUJ170714_matabat2bin_7_proteins.faa	genome666
UUJ180809_matabat2bin_313_decontaminated_proteins.faa	genome667
UUJ170804_matabat2bin_280_proteins.faa	genome668
UUJ171218_matabat2bin_192_proteins.faa	genome669
039_Pandoravirus_salinus_proteins.faa	genome670
UUJ180110_matabat2bin_255_decontaminated_proteins.faa	genome671
UUJ170501_matabat2bin_117_proteins.faa	genome672
UUJ170804_matabat2bin_38_proteins.faa	genome673
UUJ170714_matabat2bin_340_proteins.faa	genome674
UUJ170412_matabat2bin_156_proteins.faa	genome675
UUJ180802_matabat2bin_144_proteins.faa	genome676
UUJ170620_matabat2bin_253_proteins.faa	genome677
UUJ180510_matabat2bin_164_proteins.faa	genome678
UUJ170105_matabat2bin_281_proteins.faa	genome679
012_Tupanvirus_deep_ocean_proteins.faa	genome680
UUJ180809_matabat2bin_49_proteins.faa	genome681
UUJ171110_matabat2bin_164_proteins.faa	genome682
UUM180827_matabat2bin_353_proteins.faa	genome683
UUJ170523_matabat2bin_333_proteins.faa	genome684
UUJ180313_matabat2bin_284_proteins.faa	genome685
UUJ170927_matabat2bin_20_proteins.faa	genome686
UUJ170721_matabat2bin_364_decontaminated_proteins.faa	genome687
UUJ180528_matabat2bin_275_proteins.faa	genome688
UUJ180925_matabat2bin_266_proteins.faa	genome689
UUJ170501_matabat2bin_287_proteins.faa	genome690
UUJ180903_matabat2bin_452_proteins.faa	genome691
UUJ170412_matabat2bin_59_proteins.faa	genome692
UUJ180903_matabat2bin_376_proteins.faa	genome693
UUJ180925_matabat2bin_435_proteins.faa	genome694
UUJ180528_matabat2bin_227_proteins.faa	genome695
009_Bodo_saltans_virus_strain_NG1_proteins.faa	genome696
UUJ180925_matabat2bin_45_proteins.faa	genome697
UUJ170927_matabat2bin_258_proteins.faa	genome698
UUJ180510_matabat2bin_3_decontaminated_proteins.faa	genome699
UUJ180815_matabat2bin_54_decontaminated_proteins.faa	genome700
UUJ180827_matabat2bin_419_proteins.faa	genome701
UUJ180802_matabat2bin_127_proteins.faa	genome702
UUJ180802_matabat2bin_75_proteins.faa	genome703
020_Catovirus_CTV1_proteins.faa	genome704
173_BeAn_58058_virus_proteins.faa	genome705
UUJ180827_matabat2bin_24_proteins.faa	genome706
UUJ180809_matabat2bin_65_decontaminated_proteins.faa	genome707
UUJ180410_matabat2bin_388_proteins.faa	genome708
UUJ180219_matabat2bin_16_proteins.faa	genome709
UUJ171110_matabat2bin_22_proteins.faa	genome710
UUJ180219_matabat2bin_143_proteins.faa	genome711
UUJ180725_matabat2bin_319_proteins.faa	genome712
016_Organic_Lake_phycodnavirus_2_proteins.faa	genome713
UUJ180718_matabat2bin_15_proteins.faa	genome714
UUJ180802_matabat2bin_308_decontaminated_proteins.faa	genome715
UUM180827_matabat2bin_337_proteins.faa	genome716
UUJ170804_matabat2bin_173_proteins.faa	genome717
UUJ180903_matabat2bin_315_proteins.faa	genome718
UUJ171218_matabat2bin_234_proteins.faa	genome719
UUJ171113_matabat2bin_51_proteins.faa	genome720
UUJ180410_matabat2bin_288_decontaminated_proteins.faa	genome721
UUJ180925_matabat2bin_205_proteins.faa	genome722
UUJ170927_matabat2bin_44_proteins.faa	genome723
UUJ170612_matabat2bin_365_proteins.faa	genome724
UUJ170105_matabat2bin_81_proteins.faa	genome725
006_Phaeocystis_globosa_virus_strain_16T_proteins.faa	genome726
UUJ180903_matabat2bin_262_proteins.faa	genome727
UUJ171218_matabat2bin_316_proteins.faa	genome728
UUJ170523_matabat2bin_357_proteins.faa	genome729
019_Hokovirus_HKV1_proteins.faa	genome730
UUJ171113_matabat2bin_385_proteins.faa	genome731
UUJ180802_matabat2bin_449_proteins.faa	genome732
UUJ170412_matabat2bin_97_proteins.faa	genome733
UUJ170501_matabat2bin_249_proteins.faa	genome734
134_Megavirus_lba_proteins.faa	genome735
UUJ170105_matabat2bin_86_proteins.faa	genome736
UUJ170721_matabat2bin_280_decontaminated_proteins.faa	genome737
UUF170620_matabat2bin_107_proteins.faa	genome738
081_Molluscum_contagiosum_virus_proteins.faa	genome739
UUJ180410_matabat2bin_83_proteins.faa	genome740
UUJ180313_matabat2bin_162_proteins.faa	genome741
UUJ171113_matabat2bin_122_proteins.faa	genome742
004_Acanthamoeba_polyphaga_mimivirus_proteins.faa	genome743
UUJ180809_matabat2bin_181_proteins.faa	genome744
UUJ180802_matabat2bin_78_decontaminated_proteins.faa	genome745
UUJ170630_matabat2bin_431_decontaminated_proteins.faa	genome746
UUJ180925_matabat2bin_187_proteins.faa	genome747
UUJ180110_matabat2bin_227_proteins.faa	genome748
UUJ170714_matabat2bin_363_proteins.faa	genome749
UUJ180802_matabat2bin_60_proteins.faa	genome750
100_European_sheat_Fish_virus_proteins.faa	genome751
UUJ170620_matabat2bin_16_decontaminated_proteins.faa	genome752
UUJ180802_matabat2bin_132_proteins.faa	genome753
199_Taterapox_virus_proteins.faa	genome754
UUJ180219_matabat2bin_51_proteins.faa	genome755
UUJ171110_matabat2bin_65_proteins.faa	genome756
UUJ180410_matabat2bin_330_proteins.faa	genome757
UUJ170818_matabat2bin_262_proteins.faa	genome758
UUJ171218_matabat2bin_19_proteins.faa	genome759
UUJ170630_matabat2bin_106_proteins.faa	genome760
UUJ171218_matabat2bin_351_proteins.faa	genome761
UUM171110_matabat2bin_93_proteins.faa	genome762
192_Sea_otter_poxvirus_proteins.faa	genome763
UUM180827_matabat2bin_325_proteins.faa	genome764
UUJ170804_matabat2bin_161_proteins.faa	genome765
UUJ180925_matabat2bin_140_decontaminated_proteins.faa	genome766
UUM180827_matabat2bin_38_proteins.faa	genome767
UUJ171218_matabat2bin_303_proteins.faa	genome768
110_Rock_bream_iridovirus_isolate_RBIV-C1_proteins.faa	genome769
UUJ170706_matabat2bin_145_proteins.faa	genome770
UUJ170523_matabat2bin_342_proteins.faa	genome771
UUJ170412_matabat2bin_288_decontaminated_proteins.faa	genome772
UUJ180622_matabat2bin_28_proteins.faa	genome773
UUJ180827_matabat2bin_130_proteins.faa	genome774
UUJ180410_matabat2bin_49_decontaminated_proteins.faa	genome775
093_Ambystoma_tigrinum_virus_proteins.faa	genome776
UUJ171113_matabat2bin_44_proteins.faa	genome777
147_Emiliania_huxleyi_virus_156_proteins.faa	genome778
UUJ180510_matabat2bin_37_decontaminated_proteins.faa	genome779
056_Diadromus_pulchellus_ascovirus_4a_proteins.faa	genome780
UUJ171218_matabat2bin_274_proteins.faa	genome781
UUJ180725_matabat2bin_329_proteins.faa	genome782
UUF170621_matabat2bin_338_proteins.faa	genome783
UUJ170804_matabat2bin_354_decontaminated_proteins.faa	genome784
085_Orf_virus_proteins.faa	genome785
UUJ170306_matabat2bin_255_proteins.faa	genome786
UUJ180219_matabat2bin_26_proteins.faa	genome787
UUJ170818_matabat2bin_240_proteins.faa	genome788
UUJ180219_matabat2bin_173_proteins.faa	genome789
008_Tetraselmis_virus_1_proteins.faa	genome790
UUM180827_matabat2bin_1_proteins.faa	genome791
UUJ170620_matabat2bin_454_proteins.faa	genome792
UUJ170804_matabat2bin_93_proteins.faa	genome793
UUJ180827_matabat2bin_41_proteins.faa	genome794
UUJ180110_matabat2bin_257_proteins.faa	genome795
UUJ180510_matabat2bin_328_proteins.faa	genome796
202_Yaba_monkey_tumor_virus_proteins.faa	genome797
UUJ180802_matabat2bin_142_proteins.faa	genome798
UUJ180410_matabat2bin_237_proteins.faa	genome799
UUJ180510_matabat2bin_459_proteins.faa	genome800
UUJ180827_matabat2bin_429_proteins.faa	genome801
UUJ170306_matabat2bin_207_proteins.faa	genome802
UUJ170620_matabat2bin_388_proteins.faa	genome803
UUJ180219_matabat2bin_40_decontaminated_proteins.faa	genome804
UUJ170804_matabat2bin_279_proteins.faa	genome805
UUJ180827_matabat2bin_46_proteins.faa	genome806
UUJ170927_matabat2bin_297_proteins.faa	genome807
001_Mimivirus_terra2_proteins.faa	genome808
UUJ180802_matabat2bin_280_proteins.faa	genome809
UUJ170523_matabat2bin_85_proteins.faa	genome810
UUJ170523_matabat2bin_82_decontaminated_proteins.faa	genome811
UUJ170721_matabat2bin_142_proteins.faa	genome812
050_Lausannevirus_proteins.faa	genome813
116_Turbot_reddish_body_iridovirus_proteins.faa	genome814
UUJ170927_matabat2bin_73_proteins.faa	genome815
UUJ170714_matabat2bin_159_proteins.faa	genome816
UUJ180510_matabat2bin_40_proteins.faa	genome817
UUJ170412_matabat2bin_295_proteins.faa	genome818
UUJ170306_matabat2bin_26_proteins.faa	genome819
UUJ171218_matabat2bin_6_proteins.faa	genome820
UUJ170927_matabat2bin_21_proteins.faa	genome821
005_Acanthamoeba_polyphaga_moumouvirus_proteins.faa	genome822
UUJ170927_matabat2bin_107_proteins.faa	genome823
UUJ180809_matabat2bin_299_proteins.faa	genome824
UUJ170412_matabat2bin_348_proteins.faa	genome825
UUJ180410_matabat2bin_355_proteins.faa	genome826
166_Fowlpox_virus_proteins.faa	genome827
UUJ180903_matabat2bin_400_decontaminated_proteins.faa	genome828
UUJ180219_matabat2bin_134_proteins.faa	genome829
078_Melanoplus_sanguinipes_entomopoxvirus_proteins.faa	genome830
UUJ171113_matabat2bin_140_proteins.faa	genome831
UUJ180313_matabat2bin_81_proteins.faa	genome832
UUJ170714_matabat2bin_353_proteins.faa	genome833
UUJ170612_matabat2bin_51_proteins.faa	genome834
UUJ180622_matabat2bin_225_decontaminated_proteins.faa	genome835
UUJ180410_matabat2bin_352_proteins.faa	genome836
UUJ180219_matabat2bin_99_proteins.faa	genome837
UUJ180410_matabat2bin_307_proteins.faa	genome838
UUJ180219_matabat2bin_166_proteins.faa	genome839
159_Ostreococcus_lucimarinus_virus_2_proteins.faa	genome840
UUM180827_matabat2bin_312_proteins.faa	genome841
UUJ170501_matabat2bin_265_decontaminated_proteins.faa	genome842
UUJ180622_matabat2bin_395_decontaminated_proteins.faa	genome843
021_Indivirus_ILV1_proteins.faa	genome844
124_Shrimp_hemocyte_iridescent_virus_isolate_20141215_proteins.faa	genome845
082_Myxoma_virus_proteins.faa	genome846
042_Pithovirus_sibericum_isolate_P1084-T_proteins.faa	genome847
UUM180827_matabat2bin_330_decontaminated_proteins.faa	genome848
UUJ170501_matabat2bin_30_proteins.faa	genome849
145_Paramecium_bursaria_Chlorella_virus_NYs1_proteins.faa	genome850
UUJ170501_matabat2bin_293_proteins.faa	genome851
UUJ180110_matabat2bin_180_proteins.faa	genome852
UUJ180313_matabat2bin_297_proteins.faa	genome853
UUJ170721_matabat2bin_386_proteins.faa	genome854
UUJ170306_matabat2bin_289_proteins.faa	genome855
144_Paramecium_bursaria_Chlorella_virus_NY2A_proteins.faa	genome856
UUJ170105_matabat2bin_161_proteins.faa	genome857
087_Heliothis_virescens_ascovirus_3f_proteins.faa	genome858
UUJ171218_matabat2bin_294_decontaminated_proteins.faa	genome859
UUJ180718_matabat2bin_172_proteins.faa	genome860
UUJ170306_matabat2bin_301_proteins.faa	genome861
UUJ180410_matabat2bin_213_proteins.faa	genome862
UUJ180219_matabat2bin_4_proteins.faa	genome863
UUJ180313_matabat2bin_34_decontaminated_proteins.faa	genome864
UUJ171027_matabat2bin_147_proteins.faa	genome865
UUJ170105_matabat2bin_133_proteins.faa	genome866
UUJ180925_matabat2bin_56_proteins.faa	genome867
UUJ170105_matabat2bin_199_proteins.faa	genome868
UUJ170630_matabat2bin_2_proteins.faa	genome869
UUM180827_matabat2bin_169_proteins.faa	genome870
UUM171110_matabat2bin_2_proteins.faa	genome871
UUJ170501_matabat2bin_54_proteins.faa	genome872
UUJ170706_matabat2bin_144_proteins.faa	genome873
UUJ170306_matabat2bin_57_proteins.faa	genome874
UUJ180410_matabat2bin_363_decontaminated_proteins.faa	genome875
UUJ180622_matabat2bin_83_proteins.faa	genome876
UUJ171027_matabat2bin_228_proteins.faa	genome877
UUJ180802_matabat2bin_408_proteins.faa	genome878
UUJ170523_matabat2bin_266_proteins.faa	genome879
UUJ180718_matabat2bin_338_proteins.faa	genome880
UUJ171218_matabat2bin_227_proteins.faa	genome881
UUJ171218_matabat2bin_272_proteins.faa	genome882
143_Paramecium_bursaria_chlorella_virus_MT325_proteins.faa	genome883
UUJ170523_matabat2bin_344_proteins.faa	genome884
UUJ180622_matabat2bin_281_proteins.faa	genome885
UUJ180313_matabat2bin_259_proteins.faa	genome886
UUJ170612_matabat2bin_376_proteins.faa	genome887
UUJ180622_matabat2bin_104_proteins.faa	genome888
UUJ170804_matabat2bin_338_proteins.faa	genome889
102_Grouper_iridovirus_proteins.faa	genome890
UUJ180110_matabat2bin_35_proteins.faa	genome891
UUJ170612_matabat2bin_20_proteins.faa	genome892
UUJ180629_matabat2bin_36_proteins.faa	genome893
UUJ180219_matabat2bin_17_proteins.faa	genome894
UUJ180410_matabat2bin_323_proteins.faa	genome895
UUM180827_matabat2bin_184_proteins.faa	genome896
UUJ180510_matabat2bin_319_proteins.faa	genome897
UUJ180110_matabat2bin_67_proteins.faa	genome898
UUJ180925_matabat2bin_11_proteins.faa	genome899
157_Emiliania_huxleyi_virus_99B1_proteins.faa	genome900
UUJ170714_matabat2bin_255_proteins.faa	genome901
UUJ170105_matabat2bin_121_proteins.faa	genome902
UUJ170818_matabat2bin_276_proteins.faa	genome903
UUJ170927_matabat2bin_17_proteins.faa	genome904
UUJ180827_matabat2bin_123_proteins.faa	genome905
UUJ171218_matabat2bin_310_proteins.faa	genome906
125_Cannes_8_virus_proteins.faa	genome907
UUJ170804_matabat2bin_120_proteins.faa	genome908
UUJ170523_matabat2bin_273_proteins.faa	genome909
UUJ180622_matabat2bin_349_proteins.faa	genome910
111_Short-finned_eel_ranavirus_proteins.faa	genome911
130_Insectomime_virus_proteins.faa	genome912
UUJ170626_matabat2bin_397_proteins.faa	genome913
035_Pandoravirus_macleodensis_proteins.faa	genome914
UUJ171218_matabat2bin_342_proteins.faa	genome915
076_Mythimna_separata_entomopoxvirus_proteins.faa	genome916
UUJ180802_matabat2bin_249_proteins.faa	genome917
UUJ170523_matabat2bin_19_proteins.faa	genome918
UUJ171218_matabat2bin_235_proteins.faa	genome919
UUF170620_matabat2bin_71_proteins.faa	genome920
UUJ170612_matabat2bin_246_proteins.faa	genome921
UUJ180510_matabat2bin_23_proteins.faa	genome922
UUJ170818_matabat2bin_229_proteins.faa	genome923
UUJ170804_matabat2bin_217_proteins.faa	genome924
UUJ170615_matabat2bin_275_proteins.faa	genome925
UUJ170523_matabat2bin_14_decontaminated_proteins.faa	genome926
UUF170621_matabat2bin_304_proteins.faa	genome927
UUJ180510_matabat2bin_346_proteins.faa	genome928
091_Abalone_asfarvirus_proteins.faa	genome929
UUJ180802_matabat2bin_179_proteins.faa	genome930
UUJ170630_matabat2bin_20_proteins.faa	genome931
UUJ170721_matabat2bin_361_proteins.faa	genome932
UUJ170804_matabat2bin_57_proteins.faa	genome933
UUJ170105_matabat2bin_179_proteins.faa	genome934
UUJ180815_matabat2bin_60_proteins.faa	genome935
UUJ170615_matabat2bin_227_proteins.faa	genome936
UUJ180510_matabat2bin_263_proteins.faa	genome937
UUJ180925_matabat2bin_199_proteins.faa	genome938
055_Acanthamoeba_castellanii_medusavirus_proteins.faa	genome939
UUJ170615_matabat2bin_350_proteins.faa	genome940
185_Myxoma_virus_proteins.faa	genome941
UUJ170706_matabat2bin_299_proteins.faa	genome942
UUJ170726_matabat2bin_81_proteins.faa	genome943
UUJ180629_matabat2bin_22_decontaminated_proteins.faa	genome944
UUF170620_matabat2bin_84_proteins.faa	genome945
UUJ170412_matabat2bin_326_proteins.faa	genome946
UUJ170523_matabat2bin_13_proteins.faa	genome947
UUJ180815_matabat2bin_341_proteins.faa	genome948
UUJ180110_matabat2bin_103_proteins.faa	genome949
UUJ171027_matabat2bin_3_proteins.faa	genome950
UUJ170105_matabat2bin_20_proteins.faa	genome951
UUJ180802_matabat2bin_417_proteins.faa	genome952
015_Organic_Lake_phycodnavirus_1_proteins.faa	genome953
127_Kurlavirus_proteins.faa	genome954
UUJ170501_matabat2bin_55_decontaminated_proteins.faa	genome955
165_Flamingopox_virus_FGPVKD09_proteins.faa	genome956
UUJ170626_matabat2bin_330_proteins.faa	genome957
UUJ171110_matabat2bin_28_decontaminated_proteins.faa	genome958
197_Tanapox_virus_proteins.faa	genome959
UUJ170501_matabat2bin_360_proteins.faa	genome960
UUM180827_matabat2bin_136_proteins.faa	genome961
UUJ170630_matabat2bin_67_proteins.faa	genome962
UUJ170927_matabat2bin_363_proteins.faa	genome963
UUJ180410_matabat2bin_22_proteins.faa	genome964
UUJ171218_matabat2bin_256_decontaminated_proteins.faa	genome965
UUJ171113_matabat2bin_300_decontaminated_proteins.faa	genome966
UUJ170804_matabat2bin_17_proteins.faa	genome967
UUJ180510_matabat2bin_289_proteins.faa	genome968
UUJ180809_matabat2bin_141_decontaminated_proteins.faa	genome969
UUJ180510_matabat2bin_223_proteins.faa	genome970
UUJ180410_matabat2bin_369_proteins.faa	genome971
UUJ170623_matabat2bin_189_proteins.faa	genome972
UUJ180629_matabat2bin_150_proteins.faa	genome973
UUJ180410_matabat2bin_219_proteins.faa	genome974
191_Raccoonpox_virus_proteins.faa	genome975
169_Turkeypox_virus_proteins.faa	genome976
UUJ180313_matabat2bin_10_proteins.faa	genome977
UUJ180827_matabat2bin_254_proteins.faa	genome978
UUJ180725_matabat2bin_355_proteins.faa	genome979
UUJ170804_matabat2bin_10_proteins.faa	genome980
UUJ170620_matabat2bin_77_proteins.faa	genome981
114_Tiger_frog_virus_proteins.faa	genome982
UUJ170721_matabat2bin_326_proteins.faa	genome983
UUJ170523_matabat2bin_104_proteins.faa	genome984
UUJ170630_matabat2bin_158_proteins.faa	genome985
UUJ180827_matabat2bin_196_proteins.faa	genome986
UUJ170501_matabat2bin_320_proteins.faa	genome987
UUJ180510_matabat2bin_441_decontaminated_proteins.faa	genome988
UUM180827_matabat2bin_34_proteins.faa	genome989
046_Brazilian_cedratvirus_IHUMI_proteins.faa	genome990
UUJ180629_matabat2bin_295_proteins.faa	genome991
UUJ171218_matabat2bin_278_proteins.faa	genome992
UUJ170721_matabat2bin_37_proteins.faa	genome993
UUJ180802_matabat2bin_457_proteins.faa	genome994
UUJ180622_matabat2bin_112_decontaminated_proteins.faa	genome995
UUJ180802_matabat2bin_402_proteins.faa	genome996
UUJ180925_matabat2bin_393_proteins.faa	genome997
UUJ170523_matabat2bin_155_decontaminated_proteins.faa	genome998
UUJ170523_matabat2bin_53_proteins.faa	genome999
UUJ180410_matabat2bin_189_proteins.faa	genome1000
UUJ180815_matabat2bin_354_proteins.faa	genome1001
UUM180827_matabat2bin_328_decontaminated_proteins.faa	genome1002
UUJ170818_matabat2bin_106_proteins.faa	genome1003
UUJ171113_matabat2bin_363_proteins.faa	genome1004
